identity_key,candidate_cluster,candidate_state,human_intent,review_note
shibari_marks,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
squirting_liquid,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
surprise_deepthroat,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
fart,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee_puddle,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee_stain,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
poop,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum_drip,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum_string,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
saliva,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
nipple_bells,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
nipple_jewelry,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
nipple_ribbon,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
nipple_sleeves,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
penis-shaped_jewelry,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
penis_earrings,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
penis_ornament,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
penis_ribbon,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pussy_jewelry,OVERLAP|CLOTHING|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
blindfold,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
bondage_outfit,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
colored_blindfold,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
gag_chinstrap,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
lace-trimmed_blindfold,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
linked_gag,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
over_the_mouth_gag,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
over_the_nose_gag,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
wiffle_gag,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
aneros,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
aphrodisiac,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
butt_plug,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
catheter,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
heart_butt_plug,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hitachi_magic_wand,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
jewel_butt_plug,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
lotion,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
lotion_bottle,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
prostate_massager,OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
