identity_key,candidate_cluster,candidate_state,human_intent,review_note
cow_print_pasties,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
metal_pasties,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
rabbit_pasties,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
shell_pasties,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
star_maebari,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
tape_maebari,OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
gold_chastity_cage,OVERLAP|CLOTHING|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
labia_ring,OVERLAP|CLOTHING|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
spiked_cock_ring,OVERLAP|CLOTHING|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
tenga_suit,OVERLAP|CLOTHING|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
tribadism_through_clothes,OVERLAP|CLOTHING|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
babydoll,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
bitchsuit,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
camisole,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
diaper,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
gimp_mask,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
hip_vent,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
micro_shorts,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
nightgown,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
off_shoulder,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
strapless_bottom,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
breast_focus,OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
crotch_focus,OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
penis_focus,OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
pov_crotch,OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
pussy_focus,OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
black_chastity_cage,OVERLAP|OBJECT_PROP|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
chastity_cage_strap,OVERLAP|OBJECT_PROP|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
mecha_on_girl,OVERLAP|OBJECT_PROP|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
pee_pad,OVERLAP|OBJECT_PROP|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
piss_bottle,OVERLAP|OBJECT_PROP|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
amputation,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
blood_pool,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
gore,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
sexual_gore,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
snuff,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
vomiting_blood,SPECIAL_ONLY|(none)|(none)|INJURY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
