identity_key,boundary_flags,candidate_state
checkered_thighhighs,,SOURCE
checkered_vest,,SOURCE
chest_binder,,SOURCE
chest_sarashi,,SOURCE
chima_(clothes),,SOURCE
china_tracksuit,,SOURCE
chinese_clothes,,SOURCE
chiton,,SOURCE
christmas_sweater,,SOURCE
chronopattern_dress,,SOURCE
circle_skirt,,SOURCE
clawed_boots,,SOURCE
clawed_gloves,,SOURCE
cleats,,SOURCE
cloak,,SOURCE
clogs,,SOURCE
closed_lab_coat,,SOURCE
coat,,SOURCE
coat_dress,,SOURCE
coat_stash,,SOURCE
coattails,,SOURCE
cocktail_dress,,SOURCE
codpiece,,SOURCE
collared_apron,,SOURCE
collared_bikini,,SOURCE
collared_bodysuit,,SOURCE
collared_coat,,SOURCE
collared_dress,,SOURCE
collared_halterneck,,SOURCE
collared_jacket,,SOURCE
collared_jumpsuit,,SOURCE
collared_kimono,,SOURCE
collared_leotard,,SOURCE
collared_pajamas,,SOURCE
collared_robe,,SOURCE
collared_shirt,,SOURCE
collared_shrug,,SOURCE
collared_socks,,SOURCE
collared_sweater,,SOURCE
collared_tunic,,SOURCE
collared_vest,,SOURCE
colored_petticoat,,SOURCE
colored_shoe_interior,,SOURCE
colored_shoe_soles,,SOURCE
combat_boots,,SOURCE
combat_shirt,,SOURCE
competition_swimsuit,,SOURCE
compression_shirt,,SOURCE
compression_sleeve,,SOURCE
conical_hat,,SOURCE
contemporary_traditional_clothes,,SOURCE
converse,,SOURCE
corinthian_helmet,,SOURCE
cover_bikini_girl_(gta_vi)_(pose),,SOURCE
cow_print_apron,,SOURCE
cow_print_bikini,,SOURCE
cow_print_jacket,,SOURCE
cow_print_leotard,,SOURCE
cowboy_boots,,SOURCE
crop_top,,SOURCE
cropped_coat,,SOURCE
cropped_hoodie,,SOURCE
cropped_jacket,,SOURCE
cropped_kimono,,SOURCE
cropped_shirt,,SOURCE
cropped_sweater,,SOURCE
cropped_vest,,SOURCE
cross-laced_apron,,SOURCE
cross-laced_bikini,,SOURCE
cross-laced_dress,,SOURCE
cross-laced_jacket,,SOURCE
cross-laced_leotard,,SOURCE
cross-laced_one-piece_swimsuit,,SOURCE
cross-laced_shoes,,SOURCE
cross-laced_shorts,,SOURCE
cross-laced_skirt,,SOURCE
cross-laced_sweater,,SOURCE
cross-laced_top,,SOURCE
cross-laced_vest,,SOURCE
cross_bracelet,,SOURCE
crown_braid,,SOURCE
culottes,,SOURCE
cummerbund,,SOURCE
d'orsay_heels,,SOURCE
deel,,SOURCE
denim_apron,,SOURCE
denim_bikini,,SOURCE
denim_dress,,SOURCE
denim_jacket,,SOURCE
denim_overalls,,SOURCE
denim_shirt,,SOURCE
denim_shorts,,SOURCE
denim_skirt,,SOURCE
denim_vest,,SOURCE
destiny's_embrace_(kingdom_hearts),,SOURCE
detached_pants,,SOURCE
diagonal-striped_bikini,,SOURCE
diagonal-striped_clothes,,SOURCE
diagonal-striped_legwear,,SOURCE
diagonal-striped_shirt,,SOURCE
diagonal-striped_skirt,,SOURCE
diagonal-striped_thighhighs,,SOURCE
dirndl,,SOURCE
diving_suit,,SOURCE
dobok,,SOURCE
dolman_(jacket),,SOURCE
dolphin_shorts,,SOURCE
dongtan_dress,,SOURCE
dopo,,SOURCE
dotera_(clothes),,SOURCE
double_bikini,,SOURCE
dougi,,SOURCE
down_jacket,,SOURCE
down_vest,,SOURCE
dress,,SOURCE
dress_shirt,,SOURCE
dress_shoes,,SOURCE
dress_swimsuit,,SOURCE
dress_vest,,SOURCE
dry_suit,,SOURCE
dudou,,SOURCE
duffel_coat,,SOURCE
duffel_jacket,,SOURCE
duijin_ruqun,,SOURCE
duster_coat,,SOURCE
dutch_clothes,,SOURCE
e-kid_fashion,,SOURCE
ecchuu_fundoshi,,SOURCE
edie_crop_hoodie,,SOURCE
elmo_dormitory_outfit,,SOURCE
elmo_training_outfit,,SOURCE
embroidered_dress,,SOURCE
embroidered_legwear,,SOURCE
empire_waist,,SOURCE
epaulettes,,SOURCE
exposed_brain,,SOURCE
fanny_pack,,SOURCE
fashion,,SOURCE
fatui_coat,,SOURCE
faulds,,SOURCE
feather-trimmed_coat,,SOURCE
feather-trimmed_dress,,SOURCE
feather-trimmed_gloves,,SOURCE
feather-trimmed_jacket,,SOURCE
feather-trimmed_leotard,,SOURCE
feather-trimmed_sleeves,,SOURCE
feather_coat,,SOURCE
feather_dress,,SOURCE
feather_skirt,,SOURCE
feather_sleeves,,SOURCE
fedora,,SOURCE
festival_jinbei,,SOURCE
fiery_clothing,,SOURCE
fingerless_gloves,,SOURCE
fingernail_gloves,,SOURCE
fish_hood,,SOURCE
fishnet_bridal_gauntlets,,SOURCE
fishnet_dress,,SOURCE
fishnet_gloves,,SOURCE
fishnet_hiphighs,,SOURCE
fishnet_kneehighs,,SOURCE
fishnet_leggings,,SOURCE
fishnet_leotard,,SOURCE
fishnet_pantyhose,,SOURCE
fishnet_shorts,,SOURCE
fishnet_shrug,,SOURCE
fishnet_sleeves,,SOURCE
fishnet_socks,,SOURCE
fishnet_swimsuit,,SOURCE
fishnet_thighhighs,,SOURCE
