cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,1,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,see-through_bodystocking
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY+SEXUALIZED_CLOTHING,1,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ANATOMY+SEXUALIZED_CLOTHING,see-through_breast_curtains
GENERAL_ONLY|CLOTHING|EXPOSURE_INTIMATE,1,GENERAL_ONLY,CLOTHING,CLOTHING,(none),EXPOSURE_INTIMATE,vertical-striped_panties
GENERAL_ONLY|CLOTHING|RELATIONSHIP_ROLE,1,GENERAL_ONLY,CLOTHING,CLOTHING,(none),RELATIONSHIP_ROLE,virgin_killer_outfit
GENERAL_ONLY|OBJECT_PROP/DAILY|NONE,1,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),NONE,open_cuffs
GENERAL_ONLY|OBJECT_PROP/DAILY|REPRO,1,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),REPRO,pregnancy_test
GENERAL_ONLY|PERSON_COUNT|NONE,1,GENERAL_ONLY,PERSON_COUNT,PERSON_COUNT,(none),NONE,blacked_male
GENERAL_ONLY|POSE_MOVEMENT|EXPOSURE_INTIMATE,1,GENERAL_ONLY,POSE_MOVEMENT,POSE_MOVEMENT,(none),EXPOSURE_INTIMATE,presenting_bra
GENERAL_ONLY|POSE_MOVEMENT|SEXUALIZED_CLOTHING,1,GENERAL_ONLY,POSE_MOVEMENT,POSE_MOVEMENT,(none),SEXUALIZED_CLOTHING,weapon_in_garters
GENERAL_ONLY|STYLE_QUALITY_META|NONE,1,GENERAL_ONLY,STYLE_QUALITY_META,STYLE_QUALITY_META,(none),NONE,bad_ass
OVERLAP|(none)|(none)|NONE,1,OVERLAP,(none),(none),(none),NONE,jinki-style_restrained
OVERLAP|(none)|BODY_ATTRIBUTE|NONE,1,OVERLAP,(none),(none),BODY_ATTRIBUTE,NONE,fat_mons
OVERLAP|(none)|FLUID_STATE_ACTION|NONE,1,OVERLAP,(none),(none),FLUID_STATE_ACTION,NONE,personality_excrement
OVERLAP|(none)|POSE_COMPOSITION|NONE,1,OVERLAP,(none),(none),POSE_COMPOSITION,NONE,suspended_congress
