identity_key,candidate_cluster,candidate_state,human_intent,review_note
tentacle_tongue,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
tentacles,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
tentacles_as_hands,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
veiny_tentacles,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bent_over,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
legs_over_head,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
legs_up,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
on_side,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
presenting_own_body,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
spread_eagle_position,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
spread_legs,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
squatting_cowgirl_position,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
upright_straddle,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
uterus_pose,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
cock-tail,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
coming,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
dickhead,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
dp,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
explicit,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
hardcore,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
insert,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
load,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
milking_device,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
mushikan,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
nosejob,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
oneshota,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
overflow,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
rori,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
sensitive,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
teddy,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
vibe,SPECIAL_ONLY|(none)|(none)|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
assless_pants,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bikini_aside,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bikini_pull,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
g_string,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
garter_strap,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
see-through,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
see_through,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
transparent_clothing,SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
