identity_key,state
blue_wings,LOW_RISK_BODY_CANDIDATE_V19_1
boar_ears,LOW_RISK_BODY_CANDIDATE_V19_1
boar_tail,LOW_RISK_BODY_CANDIDATE_V19_1
body_blush,LOW_RISK_BODY_CANDIDATE_V19_1
body_fins,LOW_RISK_BODY_CANDIDATE_V19_1
body_freckles,LOW_RISK_BODY_CANDIDATE_V19_1
body_fur,LOW_RISK_BODY_CANDIDATE_V19_1
body_hair,LOW_RISK_BODY_CANDIDATE_V19_1
body_markings,LOW_RISK_BODY_CANDIDATE_V19_1
body_modification,LOW_RISK_BODY_CANDIDATE_V19_1
body_piercings,LOW_RISK_BODY_CANDIDATE_V19_1
body_switch,LOW_RISK_BODY_CANDIDATE_V19_1
bodypaint,LOW_RISK_BODY_CANDIDATE_V19_1
bone,LOW_RISK_BODY_CANDIDATE_V19_1
bone_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bowed_wings,LOW_RISK_BODY_CANDIDATE_V19_1
box_body,LOW_RISK_BODY_CANDIDATE_V19_1
braided_tail,LOW_RISK_BODY_CANDIDATE_V19_1
brain,LOW_RISK_BODY_CANDIDATE_V19_1
brain_freeze,LOW_RISK_BODY_CANDIDATE_V19_1
breath,LOW_RISK_BODY_CANDIDATE_V19_1
broad_shoulders,LOW_RISK_BODY_CANDIDATE_V19_1
broken_arm,LOW_RISK_BODY_CANDIDATE_V19_1
broken_bone,LOW_RISK_BODY_CANDIDATE_V19_1
broken_finger,LOW_RISK_BODY_CANDIDATE_V19_1
broken_horn,LOW_RISK_BODY_CANDIDATE_V19_1
broken_horns,LOW_RISK_BODY_CANDIDATE_V19_1
broken_leg,LOW_RISK_BODY_CANDIDATE_V19_1
broken_neck,LOW_RISK_BODY_CANDIDATE_V19_1
broken_skull,LOW_RISK_BODY_CANDIDATE_V19_1
broken_tooth,LOW_RISK_BODY_CANDIDATE_V19_1
brown_feathers,LOW_RISK_BODY_CANDIDATE_V19_1
brown_fur,LOW_RISK_BODY_CANDIDATE_V19_1
brown_hands,LOW_RISK_BODY_CANDIDATE_V19_1
brown_horns,LOW_RISK_BODY_CANDIDATE_V19_1
brown_nails,LOW_RISK_BODY_CANDIDATE_V19_1
brown_scales,LOW_RISK_BODY_CANDIDATE_V19_1
brown_tail,LOW_RISK_BODY_CANDIDATE_V19_1
brown_wings,LOW_RISK_BODY_CANDIDATE_V19_1
bruise,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_arm,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_face,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_hand,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_knee,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_leg,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_neck,LOW_RISK_BODY_CANDIDATE_V19_1
bruise_on_shoulder,LOW_RISK_BODY_CANDIDATE_V19_1
bruised_eye,LOW_RISK_BODY_CANDIDATE_V19_1
bug_bite,LOW_RISK_BODY_CANDIDATE_V19_1
bulging_eyes,LOW_RISK_BODY_CANDIDATE_V19_1
bullet_scar,LOW_RISK_BODY_CANDIDATE_V19_1
burn_scar,LOW_RISK_BODY_CANDIDATE_V19_1
butcher's_nails,LOW_RISK_BODY_CANDIDATE_V19_1
butterfly_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
butterfly_wings,LOW_RISK_BODY_CANDIDATE_V19_1
cable_tail,LOW_RISK_BODY_CANDIDATE_V19_1
calves,LOW_RISK_BODY_CANDIDATE_V19_1
camel_ears,LOW_RISK_BODY_CANDIDATE_V19_1
camel_tail,LOW_RISK_BODY_CANDIDATE_V19_1
capybara_ears,LOW_RISK_BODY_CANDIDATE_V19_1
carapace,LOW_RISK_BODY_CANDIDATE_V19_1
cartoon_bone,LOW_RISK_BODY_CANDIDATE_V19_1
cartoon_wings,LOW_RISK_BODY_CANDIDATE_V19_1
cast,LOW_RISK_BODY_CANDIDATE_V19_1
cat_ears,LOW_RISK_BODY_CANDIDATE_V19_1
cat_paw,LOW_RISK_BODY_CANDIDATE_V19_1
cat_paws,LOW_RISK_BODY_CANDIDATE_V19_1
cat_tail,LOW_RISK_BODY_CANDIDATE_V19_1
cat_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
cataracts,LOW_RISK_BODY_CANDIDATE_V19_1
cellulite,LOW_RISK_BODY_CANDIDATE_V19_1
centauroid,LOW_RISK_BODY_CANDIDATE_V19_1
centipede_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
cetacean_tail,LOW_RISK_BODY_CANDIDATE_V19_1
chameleon_tail,LOW_RISK_BODY_CANDIDATE_V19_1
character_name_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
character_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
cheek_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
cheekbones,LOW_RISK_BODY_CANDIDATE_V19_1
chimerism,LOW_RISK_BODY_CANDIDATE_V19_1
chin-chin,LOW_RISK_BODY_CANDIDATE_V19_1
chin_spike,LOW_RISK_BODY_CANDIDATE_V19_1
chinchilla_ears,LOW_RISK_BODY_CANDIDATE_V19_1
chinchilla_tail,LOW_RISK_BODY_CANDIDATE_V19_1
chipmunk_ears,LOW_RISK_BODY_CANDIDATE_V19_1
chipmunk_tail,LOW_RISK_BODY_CANDIDATE_V19_1
chipped_horns,LOW_RISK_BODY_CANDIDATE_V19_1
chipped_tooth,LOW_RISK_BODY_CANDIDATE_V19_1
chitin,LOW_RISK_BODY_CANDIDATE_V19_1
cigarette_burn,LOW_RISK_BODY_CANDIDATE_V19_1
circle_facial_mark,LOW_RISK_BODY_CANDIDATE_V19_1
circumcision_scar,LOW_RISK_BODY_CANDIDATE_V19_1
claw_mark,LOW_RISK_BODY_CANDIDATE_V19_1
clawed_hands,LOW_RISK_BODY_CANDIDATE_V19_1
clawed_wings,LOW_RISK_BODY_CANDIDATE_V19_1
claws,LOW_RISK_BODY_CANDIDATE_V19_1
cloaca,LOW_RISK_BODY_CANDIDATE_V19_1
cloud_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
clown_nose,LOW_RISK_BODY_CANDIDATE_V19_1
club_facial_mark,LOW_RISK_BODY_CANDIDATE_V19_1
cold,LOW_RISK_BODY_CANDIDATE_V19_1
collarbone,LOW_RISK_BODY_CANDIDATE_V19_1
collarbone_piercing,LOW_RISK_BODY_CANDIDATE_V19_1
collarbone_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
colored_extremities,LOW_RISK_BODY_CANDIDATE_V19_1
colored_fingertips,LOW_RISK_BODY_CANDIDATE_V19_1
colored_inner_animal_ears,LOW_RISK_BODY_CANDIDATE_V19_1
colored_skin,LOW_RISK_BODY_CANDIDATE_V19_1
colored_tears,LOW_RISK_BODY_CANDIDATE_V19_1
colored_teeth,LOW_RISK_BODY_CANDIDATE_V19_1
colored_veins,LOW_RISK_BODY_CANDIDATE_V19_1
compound_eyes,LOW_RISK_BODY_CANDIDATE_V19_1
cone_horns,LOW_RISK_BODY_CANDIDATE_V19_1
conjoined,LOW_RISK_BODY_CANDIDATE_V19_1
corneal_scar,LOW_RISK_BODY_CANDIDATE_V19_1
corpus_spongiosum,LOW_RISK_BODY_CANDIDATE_V19_1
coughing,LOW_RISK_BODY_CANDIDATE_V19_1
cow_ears,LOW_RISK_BODY_CANDIDATE_V19_1
cow_horns,LOW_RISK_BODY_CANDIDATE_V19_1
cow_skull,LOW_RISK_BODY_CANDIDATE_V19_1
cow_tail,LOW_RISK_BODY_CANDIDATE_V19_1
crab_claw,LOW_RISK_BODY_CANDIDATE_V19_1
crack,LOW_RISK_BODY_CANDIDATE_V19_1
