identity_key,general_path,confidence,risk_tokens,candidate_class
aeug,PERSON_COUNT,MEDIUM,,NON_SEXUAL
affectionate_harem,PERSON_COUNT,MEDIUM,,NON_SEXUAL
affinity_sunglasses_(blue_archive),CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
afrika_korps,PERSON_COUNT,MEDIUM,,NON_SEXUAL
afterglow_(bang_dream!),PERSON_COUNT,MEDIUM,,NON_SEXUAL
age_difference,PERSON_COUNT,HIGH,,NON_SEXUAL
agejo_gyaru,PERSON_COUNT,MEDIUM,,NON_SEXUAL
agemaki_knot,OBJECT_PROP,MEDIUM,,NON_SEXUAL
agnes_digital_(umamusume)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
agnes_tachyon_(umamusume)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
agni_gandiva,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ags_(last_origin),PERSON_COUNT,MEDIUM,,NON_SEXUAL
ah-1_cobra,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
ah-64_apache,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
ahnenerbe_shop_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
ahri_(league)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
ai_arctic_warfare,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aigis_(fate),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
aiguillette,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
aihara_academy_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
aim-120_amraam,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aim-9_sidewinder,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aiming,ACTION_CONTACT/OBJECT_USE,HIGH,,NON_SEXUAL
aiming_at_another,ACTION_CONTACT/OBJECT_USE,HIGH,,NON_SEXUAL
aiming_at_viewer,ACTION_CONTACT/OBJECT_USE,HIGH,,NON_SEXUAL
aiming_up,ACTION_CONTACT/OBJECT_USE,HIGH,,NON_SEXUAL
aimpoint,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ainu,PERSON_COUNT,MEDIUM,,NON_SEXUAL
air-to-air_missile,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
air_bubble,OBJECT_PROP,MEDIUM,,NON_SEXUAL
air_conditioner,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
air_mattress,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
air_pump,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
airbrush,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
aircraft,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
aircraft_catapult,OBJECT_PROP,MEDIUM,,NON_SEXUAL
aircraft_marshaller,PERSON_COUNT,MEDIUM,,NON_SEXUAL
aircraft_turret,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
airgetlam_(fate),OBJECT_PROP/WEAPON,MEDIUM,,NON_SEXUAL
airplane,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
airplane_hair_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
airplane_wing,OBJECT_PROP/VEHICLE,MEDIUM,,NON_SEXUAL
airpods,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
airship,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
aiscream_(love_live!),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
ajirogasa,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ak-105,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-12,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-15,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-47,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-74,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-74m,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak-alfa,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ak_5,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
akabeko,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
akademeia_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
akademiya_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
akagi_(kancolle)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
akali_(league)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
