canonical_tag,v2_home,v3_state,v3_home,migration_state,difference_class,difference_detail,evidence_path
yamato_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-65e49c598e8a96c2a51f2bde""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamato_(kancolle)"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-65e49c598e8a96c2a51f2bde""}]},{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-a1c7bf010775cc3f6f0d0937"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamato_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-a1c7bf010775cc3f6f0d0937""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamato_(one_piece),one_piece,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=ROOT_REVIEW_BATCH_A_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamato_kai_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-f5d6ed07ae16f145e630fc5d"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamato_kai_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-f5d6ed07ae16f145e630fc5d""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamato_kai_ni_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-9beb17b14119ae98a5509482""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamato_kai_ni_(kancolle)"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-9beb17b14119ae98a5509482""}]},{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-2f77ceb1ae416fb9584d5a14"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamato_kai_ni_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-2f77ceb1ae416fb9584d5a14""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamato_nadeshiko_(hyakkano),kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo,HOME_CONFIRMED,kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-e334468518f874d4c9dcca28"",""ev3-15af85c0b9692954d6a5918b""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamato_nadeshiko_(hyakkano)"",""object_key"":""hyakkano"",""evidence_id"":""ev3-e334468518f874d4c9dcca28""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""hyakkano"",""object_key"":""kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo"",""evidence_id"":""ev3-15af85c0b9692954d6a5918b""}]}]"
yamato_nadeshiko_(street_fighter),street_fighter,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamato_takeru_(fate),fate_(series),HOME_CONFIRMED,fate_(series),SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""fate_(series)"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-049ea8ef7eb77240d6216946"",""ev3-ddf5e4b0ac2eb16bc7edfa87""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamato_takeru_(fate)"",""object_key"":""fate"",""evidence_id"":""ev3-049ea8ef7eb77240d6216946""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""fate"",""object_key"":""fate_(series)"",""evidence_id"":""ev3-ddf5e4b0ac2eb16bc7edfa87""}]}]"
yami_yugi,yu-gi-oh!,HOME_CONFIRMED,yu-gi-oh!,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""yu-gi-oh!"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-83e205251d8d8f306760172f""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yami_yugi"",""object_key"":""yu-gi-oh!"",""evidence_id"":""ev3-83e205251d8d8f306760172f""}]}]"
yamper,pokemon,HOME_CONFIRMED,pokemon,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""pokemon"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-06f3ce49ed016d4969b33bcc""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamper"",""object_key"":""pokemon"",""evidence_id"":""ev3-06f3ce49ed016d4969b33bcc""}]}]"
yan_(gyee),gyee,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yan_(nikke),goddess_of_victory:_nikke,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,
yan_qing_(fate),fate_(series),HOME_CONFIRMED,fate_(series),SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""fate_(series)"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-7604f848743b7d14c6e60ff2"",""ev3-ddf5e4b0ac2eb16bc7edfa87""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yan_qing_(fate)"",""object_key"":""fate"",""evidence_id"":""ev3-7604f848743b7d14c6e60ff2""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""fate"",""object_key"":""fate_(series)"",""evidence_id"":""ev3-ddf5e4b0ac2eb16bc7edfa87""}]}]"
yancy_(pokemon),pokemon,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yanfei_(genshin_impact),genshin_impact,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,
yang_guifei_(fate),fate_(series),HOME_CONFIRMED,fate_(series),SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""fate_(series)"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-9dcedf06c7ebea31e306eff2"",""ev3-ddf5e4b0ac2eb16bc7edfa87""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yang_guifei_(fate)"",""object_key"":""fate"",""evidence_id"":""ev3-9dcedf06c7ebea31e306eff2""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""fate"",""object_key"":""fate_(series)"",""evidence_id"":""ev3-ddf5e4b0ac2eb16bc7edfa87""}]}]"
yang_nari,nijisanji,HOME_CONFIRMED,nijisanji,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""nijisanji"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-a1c82dffef80ec80891fd802""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yang_nari"",""object_key"":""nijisanji"",""evidence_id"":""ev3-a1c82dffef80ec80891fd802""}]}]"
yangyang_(wuthering_waves),wuthering_waves,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yanma,pokemon,HOME_CONFIRMED,pokemon,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""pokemon"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-b627d02517042ffdc4c5639f""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yanma"",""object_key"":""pokemon"",""evidence_id"":""ev3-b627d02517042ffdc4c5639f""}]}]"
yanmega,pokemon,HOME_CONFIRMED,pokemon,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""pokemon"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-c9a155899adf5ebe3393bf27""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yanmega"",""object_key"":""pokemon"",""evidence_id"":""ev3-c9a155899adf5ebe3393bf27""}]}]"
yano_(odd_taxi),odd_taxi,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yanqing_(honkai:_star_rail),honkai:_star_rail,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yao_(path_to_nowhere),path_to_nowhere,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yao_(sdorica),sdorica,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yao_guang_(honkai:_star_rail),honkai:_star_rail,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yaoshi_(honkai:_star_rail),honkai:_star_rail,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
