identity_key,candidate_state,risk_flags
chidori_(naruto),LOW_RISK_CANDIDATE,
child_carry,LOW_RISK_CANDIDATE,
chisato_carrying_takina_(lycoris_recoil),LOW_RISK_CANDIDATE,
chocolate_on_clothes,LOW_RISK_CANDIDATE,
choker_pull,LOW_RISK_CANDIDATE,
choso_giving_toudou_a_haircut_(meme),LOW_RISK_CANDIDATE,
chugging,LOW_RISK_CANDIDATE,
cicada_block_(meme),LOW_RISK_CANDIDATE,
clapping,LOW_RISK_CANDIDATE,
clash,LOW_RISK_CANDIDATE,
climbing,LOW_RISK_CANDIDATE,
climbing_ladder,LOW_RISK_CANDIDATE,
climbing_set_(zelda),LOW_RISK_CANDIDATE,
climbing_tree,LOW_RISK_CANDIDATE,
climbing_wall,LOW_RISK_CANDIDATE,
clinging,LOW_RISK_CANDIDATE,
clipping_fingernails,LOW_RISK_CANDIDATE,
clipping_toenails,LOW_RISK_CANDIDATE,
close-quarters_combat,LOW_RISK_CANDIDATE,
clothes_blanket,LOW_RISK_CANDIDATE,
clothes_theft,LOW_RISK_CANDIDATE,
clutching_clothes,LOW_RISK_CANDIDATE,
coat_grab,LOW_RISK_CANDIDATE,
coat_hold,LOW_RISK_CANDIDATE,
coin_flip,LOW_RISK_CANDIDATE,
collateral_damage,LOW_RISK_CANDIDATE,
collision,LOW_RISK_CANDIDATE,
come_hither,LOW_RISK_CANDIDATE,
comforting,LOW_RISK_CANDIDATE,
competition,LOW_RISK_CANDIDATE,
confession,LOW_RISK_CANDIDATE,
confrontation,LOW_RISK_CANDIDATE,
constriction,LOW_RISK_CANDIDATE,
construction,LOW_RISK_CANDIDATE,
convention_greeting,LOW_RISK_CANDIDATE,
cooking,LOW_RISK_CANDIDATE,
cooking_together,LOW_RISK_CANDIDATE,
cord_pull,LOW_RISK_CANDIDATE,
coronation,LOW_RISK_CANDIDATE,
counting,LOW_RISK_CANDIDATE,
counting_sheep,LOW_RISK_CANDIDATE,
country_connection,LOW_RISK_CANDIDATE,
cpr,LOW_RISK_CANDIDATE,
cracking_egg,LOW_RISK_CANDIDATE,
cracking_ground,LOW_RISK_CANDIDATE,
cracking_knuckles,LOW_RISK_CANDIDATE,
cradling,LOW_RISK_CANDIDATE,
cradling_phone,LOW_RISK_CANDIDATE,
crafting,LOW_RISK_CANDIDATE,
crash,LOW_RISK_CANDIDATE,
creator_and_creation,LOW_RISK_CANDIDATE,
creator_connection,LOW_RISK_CANDIDATE,
creature_on_lap,LOW_RISK_CANDIDATE,
crime_prevention_buzzer_threat,LOW_RISK_CANDIDATE,
crosscounter,LOW_RISK_CANDIDATE,
crucifixion,LOW_RISK_CANDIDATE,
crushing,LOW_RISK_CANDIDATE,
crushing_food,LOW_RISK_CANDIDATE,
cryokinesis,LOW_RISK_CANDIDATE,
cupping_ears,LOW_RISK_CANDIDATE,
cupping_glass,LOW_RISK_CANDIDATE,
curtain_grab,LOW_RISK_CANDIDATE,
cutting,LOW_RISK_CANDIDATE,
cutting_clothes,LOW_RISK_CANDIDATE,
cutting_onions,LOW_RISK_CANDIDATE,
decorating,LOW_RISK_CANDIDATE,
decorating_baked_goods,LOW_RISK_CANDIDATE,
decorating_christmas_tree,LOW_RISK_CANDIDATE,
defeat,LOW_RISK_CANDIDATE,
defecating_self,LOW_RISK_CANDIDATE,
defenestration,LOW_RISK_CANDIDATE,
deflect,LOW_RISK_CANDIDATE,
delivery,LOW_RISK_CANDIDATE,
desk_slam,LOW_RISK_CANDIDATE,
destruction,LOW_RISK_CANDIDATE,
diaper_changing,LOW_RISK_CANDIDATE,
digging,LOW_RISK_CANDIDATE,
digging_your_own_grave,LOW_RISK_CANDIDATE,
disassembly,LOW_RISK_CANDIDATE,
dishwashing,LOW_RISK_CANDIDATE,
dive,LOW_RISK_CANDIDATE,
diving,LOW_RISK_CANDIDATE,
diving_block,LOW_RISK_CANDIDATE,
diving_board,LOW_RISK_CANDIDATE,
diving_regulator,LOW_RISK_CANDIDATE,
dodgeball_(sport),LOW_RISK_CANDIDATE,
dog_on_lap,LOW_RISK_CANDIDATE,
dog_shadow_puppet,LOW_RISK_CANDIDATE,
dogfight,LOW_RISK_CANDIDATE,
dogpile,LOW_RISK_CANDIDATE,
domestic_violence,LOW_RISK_CANDIDATE,
double_facepalm,LOW_RISK_CANDIDATE,
double_fox_shadow_puppet,LOW_RISK_CANDIDATE,
double_ok_sign,LOW_RISK_CANDIDATE,
double_shaka_sign,LOW_RISK_CANDIDATE,
double_thumbs_down,LOW_RISK_CANDIDATE,
double_thumbs_up,LOW_RISK_CANDIDATE,
dragon_dance,LOW_RISK_CANDIDATE,
dragon_fist_(dragon_ball),LOW_RISK_CANDIDATE,
drawing_(action),LOW_RISK_CANDIDATE,
drawing_gun,LOW_RISK_CANDIDATE,
drawing_on_air,LOW_RISK_CANDIDATE,
drawing_on_dirt,LOW_RISK_CANDIDATE,
drawing_on_fourth_wall,LOW_RISK_CANDIDATE,
drawing_on_sand,LOW_RISK_CANDIDATE,
drawing_on_self,LOW_RISK_CANDIDATE,
drawing_on_snow,LOW_RISK_CANDIDATE,
drawing_sword,LOW_RISK_CANDIDATE,
dribbling_(basketball),LOW_RISK_CANDIDATE,
drinking,LOW_RISK_CANDIDATE,
drive-by,LOW_RISK_CANDIDATE,
driving,LOW_RISK_CANDIDATE,
dropped_food,LOW_RISK_CANDIDATE,
dropped_object,LOW_RISK_CANDIDATE,
drowning,LOW_RISK_CANDIDATE,
drying,LOW_RISK_CANDIDATE,
dual_wielding,LOW_RISK_CANDIDATE,
duel,LOW_RISK_CANDIDATE,
duel_(yu-gi-oh!),LOW_RISK_CANDIDATE,
duet,LOW_RISK_CANDIDATE,
dusting,LOW_RISK_CANDIDATE,
ear_cleaning,LOW_RISK_CANDIDATE,
ear_picking,LOW_RISK_CANDIDATE,
eat_me,LOW_RISK_CANDIDATE,
eating,LOW_RISK_CANDIDATE,
eating_contest,LOW_RISK_CANDIDATE,
eating_non-food,LOW_RISK_CANDIDATE,
eavesdropping,LOW_RISK_CANDIDATE,
egg_laying,LOW_RISK_CANDIDATE,
egosearching,LOW_RISK_CANDIDATE,
elbow_carry,LOW_RISK_CANDIDATE,
elbow_drop,LOW_RISK_CANDIDATE,
elbow_on_knee,LOW_RISK_CANDIDATE,
elbow_on_table,LOW_RISK_CANDIDATE,
elbowing,LOW_RISK_CANDIDATE,
elbows_on_knees,LOW_RISK_CANDIDATE,
elbows_on_table,LOW_RISK_CANDIDATE,
