identity_key,candidate_state,risk_flags
cutting_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cutting_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cutting_own_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
digimon_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
dog_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
doll_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
doll_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
double_finger_gun,RESIDUAL_UNCLASSIFIED,relation_or_body_token
double_finger_heart,RESIDUAL_UNCLASSIFIED,relation_or_body_token
double_middle_finger,RESIDUAL_UNCLASSIFIED,relation_or_body_token
dragon_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
dragon_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drawing_on_another,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drawing_on_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drawing_on_own_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drinking_straw_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drying_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drying_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
drying_own_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
duck_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
eating_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
elbow_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
elbow_on_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
elbow_on_leg,RESIDUAL_UNCLASSIFIED,relation_or_body_token
elbow_on_thigh,RESIDUAL_UNCLASSIFIED,relation_or_body_token
eye_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
eyewear_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
