identity_key,priority_band,is_general,is_special,general_primary_path,general_status,general_confidence,special_id,generation_family,generation_role,issue104_risk,prior_evidence,sample_rank,reviewed_class,review_status,review_reason
projectile_lactation,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,MEDIUM,2846,FLUID_STATE_ACTION,effect_or_action,NO,,0034f5ff13d4e80a212ca7a1f8fbee03bd71d9f564f728477fe516e8c7e1306f,,,
onee-shota,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,,HIGH,733,RELATION_ROLE_CONTEXT,context,NO,,006dd2b9927aa5950686bbcafd2bd514beefd82cfff09eb0cc34d5fa6f9e04b0,,,
ice_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1972,,semantic_support,NO,,007dbffb74679ff22d18a3a5b89f9842292288e58ff66b768a3af8c2cd057dbd,,,
pubic_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2763,,,NO,,00853bdd52238056ae011ac24e167a777563c9dd2fe16f1af509c72b917926eb,,,
blue_anus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,962,,,NO,,009fed9a0e5812be122ffedc9c382bc1e3f74fbe6a212778f29f81a79a38db96,,,
wringing_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2317,CLOTHING_EXPOSURE,visual_state,NO,,00abd366561c27caf53844f434c5ccc2eaa83258ca380f756e2e9b580493f0fb,,,
purple_blindfold,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2598,,,NO,,00d8afd814826638f95a082a3266cc983885abfa22660f0d8521f4de26523ea4,,,
spread_anus,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2,BODY_ATTRIBUTE,body_target_or_attribute,NO,,00d8d70030a7622d236dc9a8f82fe77e6532418b869e2ae20b177ccd12a2e5df,,,
bouncing_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,,HIGH,2850,CLOTHING_EXPOSURE,visual_state,NO,,011e2c8417b61c39f983a635bdfb44801cea89b5760b95a95dbfcbc1f5a317fc,,,
large_nipples,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1352,,,NO,,011e479a16165c556ab9bf5f138e9c54a7aa446a5e9fd66ab2f6b25a33bc1f07,,,
foursome,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,,HIGH,230,MULTI_ACTOR_INTERACTION,compound_action,NO,,012565342bf5274762cbc032ac9907c7ffc78e0daedd114320cad98d1e423442,,,
semen_on_ass,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1344,,,NO,,013162596f2918e06976e922374a6332d1ce166332af3f62a170057351f57bf9,,,
golden_shower_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1998,,semantic_support,NO,,014e90979ca2820c627b28fd68b5eebfa96479c81c27cb66a12dbd2344cc38a6,,,
