identity_key,priority_band,is_general,is_special,general_primary_path,general_status,general_confidence,special_id,generation_family,generation_role,issue104_risk,prior_evidence,sample_rank,reviewed_class,review_status,review_reason
toe_sucking,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,2915,ACTION_INTERACTION,action,NO,,0431f4958f92d8038dd3b5820d44f377218090e801eb52fd5bbbafb0ffb135a1,,,
clothed_female_naked_female,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2567,,,NO,,0436e8109abaf367caff51157f99f64cfc657e0b51c636b4a55466244c3cc7f0,,,
anal_plug,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1357,,,NO,,0445f6fc5c19c1d918314edcb10c403e866c73a3f728f06b0f3dc8913ff602a6,,,
stealth_footjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,1130,,,NO,,0462ac4d8bf1c383fbd3128611ace4e615fe0b321712a1ecc2552ca7fcd09135,,,
presenting_pussy,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1405,,,NO,,04675e6b7bebf60c6e6e8c2f9f6689fc89e609785d66b8e8e80af0d564c68ab0,,,
panel_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,STYLE_QUALITY_META,,HIGH,2508,RESTRAINT_IMPLEMENT,restraint,NO,,04944b54ea58878540ca082e709e4aec9351db99cc6fc5e31815214bbd7ef866,,,
restraint_devices,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1949,,semantic_support,NO,,04c9755699c911250139b6998e31044554d69d3e59873175d267eae8512faef6,,,
overboob,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2636,,,NO,,05000b616563c9c3da4c485f332dae8cbfebd261836739be6649f2f07d2f4d2c,,,
piledriver_(sex),P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,793,POSE_COMPOSITION,pose,NO,,0522de7b3621eb70aebe6cf5615ae1abed28470a3c90298b781fbfd40a4eef94,,,
rape_eyes,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1379,,,NO,,054b6241d6587f3362cdd5516519ceaeef937e08f2576155aa55644f138f6737,,,
choking_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1975,,semantic_support,NO,,059fddc17ea6fdf21f3c2a5957071549021a5bc34d397eb86040b5c04a8f6bbc,,,
holding_pregnancy_test,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/OBJECT_USE,,HIGH,2877,ACTION_INTERACTION,action,NO,,05c4a4d71233f66e23d3f5c513ebd5808fa6f323e921f81bc668186cbcc90811,,,
touching_another's_crotch,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2974,ACTION_INTERACTION,action,NO,,066bf9b353427bdfbab06ed5fa2a9882cb8ab279a7977e4102d73c33a613d5ac,,,
oppai,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2633,,,NO,,067969ad070e1f78fa756a6958578be21e85d5013a089f9eecb2bd425b8a7efa,,,
spread_pussy_under_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,760,CLOTHING_EXPOSURE,visual_state,NO,,0696dae5b5821bc7390612ca311bed2be33103abbf96ea648d974dc44df2dca8,,,
presenting_own_body,P1_SPECIAL_OR_OVERLAP,YES,YES,POSE_MOVEMENT,,HIGH,49,POSE_COMPOSITION,pose,NO,,06f7de2ce10291db2f362a86210edea44c940684950fdb3ace667980d29eceb5,,,
imminent_breast_grab,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2931,ACTION_INTERACTION,action,NO,,070d30d41549532f473bb6b7c24e58aa537c79fe96008ed752f43d898ebd611c,,,
naked_hoodie,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2286,CLOTHING_EXPOSURE,visual_state,NO,,0730700517df56895bf1a55fe8557fa4e8fb7d6e9772784c1defd1db458f55ea,,,
foreskin_biting,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1564,,,NO,,076990249a28a9daf5d0ddcb29cfe78992e8a5316c446541804aca5a936caf1b,,,
bound_torso,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,1910,RESTRAINT_ACTION,restraint_action,NO,,07855ca3661eab29af14d8518b5bf5d6cc2601fb429e06962f2da409b902170f,,,
stomach_bulge,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,199,BODY_STATE,body_state,NO,,07b19e544b6cbb1ae816bbed5df305af152481ac8cb24ec767e5528013584f9b,,,
handcuff,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2674,,,NO,,07be42b95f2551a004ff116fc5db25386ccd9d04b1b11d74587a7e7062a6c16e,,,
implied_vaginal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,MEDIUM,1048,CONTEXT_MODIFIER,semantic_support,NO,,07d047f0a58701719d3d3fb883a0583cbcac6838da70d0124073651ef8e1c29d,,,
breast_suck,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2672,,,NO,,07ed401d18b3522fd62769c8691d005645ff2421a2e0c9e0df7e6639a43747e0,,,
caught,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2149,SCENE_CONTEXT,scene_context,NO,,08163082b3d505ff723ac681b17365cca929da5b829937e4faa4e09851e31668,,,
naked_paint,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2409,CLOTHING_EXPOSURE,visual_state,NO,,08613aebe121c7d4151367bbaf7355b957a14ac5c84f74459d31dad3d1bb113f,,,
nude_male_clothed_female,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2536,,,NO,,08a12b3e60c56ce119609269bfdc93ee94817f2bb491ed44638a4e3d0d628eda,,,
pantyhose_on_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1528,,,NO,,08a29c131686693553ebbb18a7672780ba67f66c87d9abb0c3ae42c68f70aa0f,,,
implied_self-mutilation,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2752,,,NO,,08d71818fbc1da9c29eb1e55a45f015f3bba0cf4ee5e15b82d737979f2054f88,,,
chocolate_on_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,1075,DIRECT_COMPOSITE,compound_visual,NO,,090a7017d53c89b1da544e57038dc83ab1d71aaacf7fca31a39e194288192ee1,,,
sucking_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1284,,,NO,,09177a156fce6ebd548a8c3536903025e64c1e66f42bf7971326ff26d2d4c363,,,
autocunnilingus,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,680,SELF_ACTION,action,NO,,0936e93f442c5b1718a7a65a21bc54a1725b1e045d1a7c594c811b5e57046dff,,,
side_boobs,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2640,,,NO,,0937accb340e081b567fc8cd543336eaf3d6db6063928b6f5c72e914e7b23b66,,,
yoke_(bdsm),P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,,HIGH,2787,RESTRAINT_IMPLEMENT,restraint_implement,NO,,0958075e8f7e8f6d259cd523350de3c4f2cb952f7d72dc63f89af0d342659e47,,,
fleshlight,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,608,,,NO,,0964ea3a986a3eee6afe917953343ffc9cd91997df44841c920e177439fcd85d,,,
mons_pubis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,2018,BODY_ATTRIBUTE,body_target_or_attribute,NO,,09777ee9059bf0c620c3d70a98860623e36a1acbefc17bd165940fa0fc26eb5c,,,
veiny_tentacles,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1890,NONHUMAN_INTERACTION,compound_concept,NO,,097830eaca8809c40ab4c6230da9dc490ad02f263696b2814df22c09b7c02a33,,,
ball_insertion,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,936,,,NO,,099b632434661bdba32e4845360c12c2e198110c7a39262702bee16f6126f53b,,,
tentacle_pit,P1_SPECIAL_OR_OVERLAP,YES,YES,PLACE_BACKGROUND,,MEDIUM,1848,NONHUMAN_INTERACTION,compound_concept,NO,,09c0a6fc68627cea1c13c35180d287571254e8feb075c2a884afe3119eeea5eb,,,
virgin_destroyer_sweater,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,,HIGH,2527,CLOTHING_EXPOSURE,visual_state,NO,,09e1f001b0baa6c9ea1ef0b7d0ab759c63fb21b2f8c7a708773b8ebf26c8f75d,,,
piss,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2553,,,NO,,0a2d214114a5a591e1275d6658de09aa1da10bfb03681e0428a0b9e79bbd97e2,,,
penis_in_glove,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,991,DIRECT_COMPOSITE,compound_visual,NO,,0a341d654d6ad48076264ab68a1c8f88f56e563466fd709ccb4446983539860e,,,
tickling_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,955,,,NO,,0a39bdc0bc310c1e9d5058e506d05825749d143306000b14e3c3fe635b214571,,,
erection_under_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2195,BODY_STATE,body_state,NO,,0a5086d86650a6c726b5cb36793b10bb156e1dfe332df71f431254f3fa850195,,,
fingering,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,174,INSERTION_STRUCTURED,bodypart_action,NO,,0a7f878dc1dcc2a3db5eef7073c2a7e573cd6d37d0153e35d8253920a401a6bd,,,
crossdress,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2658,,,NO,,0a8ce79bc24356aa0d81d170ee8f3ce979075c33970bdc52e1a669397d67535a,,,
onii-shota,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,,HIGH,773,RELATION_ROLE_CONTEXT,context,NO,,0a948cd1da2a54c7d8396599ff0340d2580198de364ae05db3e05554735b9562,,,
piercing_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2894,CLOTHING_EXPOSURE,visual_state,NO,,0ac38454dbee260b1456f8ff8a01fd711437ed611bcb94b6ae68fab1a08475da,,,
clothed_male_nude_female,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2386,CLOTHING_EXPOSURE,visual_state,NO,,0aea7927b0ec6256a390674387398cecd9ccac408fe57995852de492d5b5c84d,,,
rabbit_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,HIGH,2484,,,NO,,0aff9617f66015f83578ae454a22005bcfa8d7a209b0fdcd6161cba4c96c5752,,,
prone_bone,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,123,POSE_COMPOSITION,pose_camera,NO,,0b105013313e0a742b9ce13533a82f2c82b44e499348dc54f50edd33b52e0a6f,,,
transparent_cleavage,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2554,,,NO,,0b10cd06a54970c2f36c31de56a280c207ebc37df039af8136b0dab35c513856,,,
skirtlift,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2775,,,NO,,0b1db81db51ed259349172118c11d45169c02c8f40052de872e40064203b43c8,,,
bound_ankles,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,1899,RESTRAINT_ACTION,restraint_action,NO,,0b379baa93290220ed7eb9a263b9f1ad65f7428bde535a08fb6de817d6585468,,,
urethral_beads,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,,HIGH,209,INSERTION_STRUCTURED,bodypart_action,NO,,0b560fd9cab34e45121f82ef712fb86e0a52b30ec424608f26a3b67ad1c21e87,,,
breeding_kink,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2188,,semantic_support,NO,,0b6021c5647b09033410c5f3e7e86141cae11d1d99db835fce17a375e7b95013,,,
licking_nipples,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1384,,,NO,,0b6e191ffe423b7164f42e912946b792505a0ba88ae61bcb5989af96cd431ee7,,,
guided_crotch_grab,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,36,ACTION_INTERACTION,action,NO,,0b9608d3dc583338767a3e922e446aaea730cdca8ef5da9e34d1c4be757bc1d5,,,
cumdrip_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2956,CLOTHING_EXPOSURE,visual_state,NO,,0bae609e149fce2e2de7aa986b7b0a0193eb27b406291855482e2dee276ac63c,,,
anal_hook,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,1813,RESTRAINT_IMPLEMENT,restraint,NO,,0bd2cc30dd750222c69bf8180bc05e27b3a8b0b411c6dae77373eff18854b700,,,
kankaku_shadan,P1_SPECIAL_OR_OVERLAP,YES,YES,,,LOW,1852,NONHUMAN_INTERACTION,compound_concept,NO,,0bdb0fb48af73050cc8527c5f57f156f054ee7e906cbc7b159170df0a5a4955d,,,
lift_skirt,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2756,,,NO,,0bf7ed9acadebce2589ee780a051f0c3fc136a4de82d81ffa78da7f59e99a128,,,
somnophilia,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1389,,,NO,,0c1351f24f27d48716a9c79fc501e2d7d219c7fecf08699cf4c8f28473e4fd86,,,
sucking_on_multiple_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2954,ACTION_INTERACTION,action,NO,,0c1cc9d6eed4a55ff333523583e29f434f3325b5f882aa3519fa532140393d93,,,
hip_vent,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,MEDIUM,2219,CLOTHING_EXPOSURE,visual_state,NO,,0c28220afeebb8a9b293ac45092d856c1ccd03bc701d3e9b93c58cf275656fff,,,
shared_artificial_vagina,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1571,,,NO,,0c62be66b5bb2e2a8cba4f471f13eeddb9a03d35843de35760d2b2695d063b24,,,
breast_curtain_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2910,CLOTHING_EXPOSURE,visual_state,NO,,0c65c195a805979621412f186edec0ea0321d38a7e8584a9a736cf8df36969ab,,,
novagina,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1637,,,NO,,0c6e2c0b726747c1b526c3c4f3fbca61947a757bed53a5dacc3a8701a23d8c4c,,,
sounding,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,600,INSERTION_STRUCTURED,bodypart_action,NO,,0cb90369c0293e1c252e79e39feb03bbb0d3062e283850a20635dfaaf75232c3,,,
knees_to_chest,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1750,POSE_COMPOSITION,pose_camera,NO,,0cddb7623bfc1738ec4419a78f05466f47890825082df8acab6bed6094048250,,,
pec_fuck,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1498,,,NO,,0cf379788a2b5fc83b6eb8b60b913f26df641d93d556d0fb33e0e9e2d807e425,,,
prostitute,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1733,,,NO,,0cfd519dca14cc3404e99a7a00c7c0f747fd653edad54085ddf7a04da9ee14a3,,,
erect_clit,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2583,,,NO,,0d07f4789b8559967053b47fdd162de97db4c20b5a8f2599a11c7bb29f13d40b,,,
cleave_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,,HIGH,1820,RESTRAINT_IMPLEMENT,restraint,NO,,0d165d8034ac2c4548b83fe6108b2486f94b3f20d980ade95acbe7e76f46f629,,,
crotch_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2087,CLOTHING_EXPOSURE,visual_state,NO,,0d22b363e0ebe0825f6391405b577b813dcc1d62bbbc4e2e6ca237da9c2eb2c6,,,
dubcon,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,444,,semantic_support,NO,,0d273933f6544e5be640aa6104c555704050f2cf28645abbfd834ab0efd1ebf2,,,
vibro,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,308,,semantic_support,NO,,0d60cdc9bc9ac8d1613bfbd643c18893a599eb799b5014be83fa4bb618929e75,,,
blood_from_vagina,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1174,,,NO,,0d65b8e978954255b76aea0a3be7737640abe101c701419f58d99f87d4cde209,,,
rimming,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,116,,semantic_support,NO,,0d672b5dd822e678649fe38d626c94efe38d45c9b7b1a5e25bb6e4c1c4474523,,,
impaled,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,,HIGH,758,INSERTION_STRUCTURED,bodypart_action,NO,,0db6473fc3fb8c039f08dbebb80038b3f706820f8f8507f11bc11066fd69e3e8,,,
balls_deep,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1346,,,NO,,0dc1840d209b0066327c68da2c686cadec17c91c327def1cbea413c6483b2b48,,,
necrophilia,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,478,DAMAGE_STATE_ACTION,state_or_action,NO,,0dc4ba931ebcc0087edc9111e325609caed47386072edc6834f00f58c7980db4,,,
naked_overalls,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2288,CLOTHING_EXPOSURE,visual_state,NO,,0dcefe74ff083a6634dde25165be5edd80661f21f13dc750539da30f7b2e9ae7,,,
pantyhose_pull,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2239,CLOTHING_EXPOSURE,visual_state,NO,,0dd472a7034392bbf2d448189d722db473b85f6c9f87a31d728113fa8c737ba9,,,
fingers_in_pussy,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1297,,,NO,,0dd81e9bfbefa41e2c1e0df49b54b63be2846308e3deef602a2869a5671c2d20,,,
grabbing_another's_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,687,ACTION_INTERACTION,action,NO,,0e0a8dc11621adb3707d39e052df2ea097a92ad77df51d6f3642b629fdf8fb8d,,,
crotchless,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2088,CLOTHING_EXPOSURE,visual_state,NO,,0e25802590f816d1fe9d82379ce579af0b7fe0bed68c7736ed9343e23e7604f8,,,
naked_capelet,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2282,CLOTHING_EXPOSURE,visual_state,NO,,0e434b82d11375734de46feb2ce5094be91bedbd8ee41e7f8b699403d907190c,,,
panties_pull,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2655,,,NO,,0e5708085747833a0fd8f7450ef7833e83ffcdb19f2fe443441ef42cbaa134c4,,,
penis_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,1088,,,NO,,0e6592916da38999a2b388304c3de373e8a3ba60b7c0a3b444e0b4555fa0de0d,,,
implied_lactation,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,MEDIUM,2969,FLUID_STATE_ACTION,effect_or_action,NO,,0e7c1dd75633ecd1f90b07f6cbbed7a1234d25e8f9555448fdb2ac9a028a414a,,,
holding_tentacle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,MEDIUM,1868,NONHUMAN_INTERACTION,compound_concept,NO,,0e8fc9da4af371c9b2557e9b5f6c818075af32d21997ddaec2440e2e4e1a0ed1,,,
covered_erection,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1736,,,NO,,0ecc46dad7ba999bfae87204f1135ac329afa1d51fc16d185bb5e8268603acb6,,,
reverse_cowgirl,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,141,,,NO,,0ee477999a740121ab739d03892e4301154b8fb33466f8dfb707690067f4dd20,,,
nipple_tassels,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,HIGH,890,BODY_ATTRIBUTE,body_target_or_attribute,NO,,0f209be64e1d8260f1d72f2b158f894caf4316740cafd62acee29f3ce1860471,,,
genitalia,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1811,,semantic_support,NO,,0f834aa331d0083213acfc663a1514f1fa5826acdb4879ef39efa750bd360dd4,,,
pregnancy_halo,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,2930,BODY_STATE,body_state,NO,,0fb7bff97237d1ab3e6e116df9ddc1ac780d7b4d3346ff4b5ff5f95774d69fb9,,,
judas_cradle,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1719,,semantic_support,NO,,0fce7be2f930e07f43c4b186e9da507172cedf76ca0688f6976ef98014f2d0d8,,,
molester,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1397,,,NO,,10117b8e4cfffd7b3e239b830e5df1566f3b71b76044f50aa57ec17c3539a8d3,,,
arms_bound_above_head,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2473,,,NO,,1065236c61ef99413efb26ba8c651275cb9fe22fff0cebe84d594480bb25f8ac,,,
hard_fetish,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,506,,semantic_support,NO,,10c1a0e4186feaebf1df6960e88c3134d7272135ab076416ad3d1e5e4aefe8c0,,,
nipple_rub_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,1212,,,NO,,10fb18c2a4255f9d1ae9831529ba0170b4d0749e2be6a7b43efc40e2f068483b,,,
panty_aside,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2662,,,NO,,10feafff20d4a8e8c368c2d9a56df0f8568c69ff1dac672fc0fae11586730c78,,,
tenga_suit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/COSTUME,,HIGH,1138,,,NO,,11056e105cc10c9b1839e10cdb245f5e2c79d128bbf0de67883ef1a7dafa49af,,,
nipple_chain,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,HIGH,1722,RESTRAINT_IMPLEMENT,restraint,NO,,1106220faf89e877ecf8d592434eba040be345fb60784b1791b07f1d2f2f2804,,,
pussy_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,510,BODY_ATTRIBUTE,body_target_or_attribute,NO,,1127bdc59d347064251bb6d11753a89af2f42ba38d0eb9e8e5fc3387bd6b7ac4,,,
cat_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1079,,,NO,,115f8a8896a7b214096f5763ca36fdb5ea7466cf1a331b468794b1e11aa39407,,,
autoerotic_asphyxiation,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,423,,semantic_support,NO,,11bad7eaa6a07a80e1bd02c7c9ab7f45cfe1edfe94f9acc14dbb4f277b8d0d04,,,
spider_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,,HIGH,2510,RESTRAINT_IMPLEMENT,restraint,NO,,1209b39ce32ca674bc5c599c979ce92396debf952fef81699a1aaaa7e27914f1,,,
bra_down,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2687,,,NO,,123210e2eb6b39e3bef259687dedd7ae98a567969467534ddb445bf8367ea33b,,,
tail_between_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2977,CLOTHING_EXPOSURE,visual_state,NO,,124c04d0a2c508cb04a412a5f936930fa3375fe175b7d62e2b041dc9cf258081,,,
upskirt,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2139,POSE_COMPOSITION,camera,NO,,126d574fc8f86b8024d055588420d225897556aa17628497e777d0efe6e507c0,,,
testicle_weights,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,629,,semantic_support,NO,,12b62c2fe97592f9425569f0af476201cde6dc5caee19b3967fbdfb7683c29a1,,,
purple_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1030,,,NO,,12ca550c92a45fb3c92e859463a06c87d49f4f637133ec87d8394ee8634ba88d,,,
nude_sheet,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2576,,,NO,,12e2df798074dcf80cea291cab8041fe483d21bac2622fcd3fae44097b3ce75b,,,
descensored,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1578,,,NO,,130879f6eec4f1094054685e2223790b31d15716feb2f44627d34f1bdf24be39,,,
dismembered,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1782,,semantic_support,NO,,1341bb4598bcc19ddc539c60f7b89082484e08a31ca23c04e01fa63fc6768aeb,,,
triangular_anus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1035,,,NO,,13633b7e99a1820b818a3386ab9211a53293bcaaec20abe8c279a9bead22e080,,,
bound_fingers,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,1903,RESTRAINT_ACTION,restraint_action,NO,,137f48cbfadccb3a46f44f59d3fcd9682fff3bcb458e1b0432dd1e2b006512f8,,,
cunnillingus,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1623,,,NO,,13b74987c75b257aa045176a661a352205a09f74832acb6fc51a443ebd54b737,,,
butthole,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1583,,,NO,,13c2ec2e8acd08639ff0af2175c3f818958c6ea295c57a02a83a920e3304ff0c,,,
testicle_piercing,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1548,,,NO,,13d11ea00d1dbf3a898b240c4f01329a7756c7a444915e4c16c422da06e55409,,,
naked_shirt,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2293,CLOTHING_EXPOSURE,visual_state,NO,,13dc822d577a928760e0a841d08426cef2fda55ac143d5b973d0e8d03dd64127,,,
exhibitionism,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,657,SCENE_CONTEXT,scene_context,NO,,13ec9e156b320aaddb9e38918876c49340059db3f1d7b55af3fcff02f143bd3e,,,
naughty_smile,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1608,,,NO,,13edd395302ff74e1884a4156de230bd91483eb94de25d3540551be47fc39bb0,,,
lolicon,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1575,,,NO,,140261526dbf9bd24a347ed43b1a269615064ee29c5568342ae950faa1162ecf,,,
used_condom,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,,HIGH,2148,IMPLEMENT_OBJECT,implement,NO,,14475d183cf1f0a29d8d463ffa694458e6b7fd3ac0e625a6299993de0326d57f,,,
