canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status,issue94_crosswalk,issue94_final_status,issue94_final_reason
breast_contest,585,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
person_between_breasts,554,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
breast_mousepad,549,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
single_handcuff,517,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\bhandcuffs?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
hand_shadow_covering_breasts_(meme),501,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
upright_restraints,495,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\brestrain\w*\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
necklace_between_breasts,474,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
card_between_breasts,470,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
holding_own_leash,445,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\bleash\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
sword_between_breasts,423,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
