row_id,canonical_tag,category,post_count,review_band,primary_copyright,primary_copyright_coverage,current_reason
I70-040047,honeyworks,Copyright,169,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040076,american_psycho,Copyright,167,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040093,the_hobbit,Copyright,167,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040123,the_wizard_of_oz,Copyright,165,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040127,little_princess,Copyright,164,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040168,romance_of_the_three_kingdoms,Copyright,162,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040257,traffic_life_series,Copyright,156,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040270,omc,Copyright,155,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040275,the_prophecies_begin,Copyright,155,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040277,bashamichi,Copyright,154,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040325,ways_of_darkness_(series),Copyright,152,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040327,apt._(rose_&_bruno_mars),Copyright,151,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040338,silverlight,Copyright,151,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040359,the_caves_of_steel,Copyright,150,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040535,project_nebula,Copyright,140,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040627,prismplus,Copyright,135,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040631,space_jam,Copyright,135,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040658,omariposa,Copyright,134,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040664,treasure_cafe,Copyright,134,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040673,gamera_(series),Copyright,133,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040726,ultimate_nipper,Copyright,131,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040764,romeo_and_juliet,Copyright,129,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040952,sergestid_shrimp_in_tungkang,Copyright,121,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040979,wild_flower,Copyright,120,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040982,abbey_road,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-040991,internet_survivor,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041001,metroid_prime_1,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041002,neko_no_ongaeshi,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041003,otome_kaibou_(vocaloid),Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041004,otona_no_moeoh,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041005,phantom_of_the_opera,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041006,raving_rabbids,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041007,rune_factory_1,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041008,tako_takover_(ninomae_ina'nis),Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041009,teen_titans_go!,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041010,toward_the_terra,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041011,uchi_no_maid_ga_uzasugiru!,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041012,unionism_quartet,Copyright,119,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041013,aoi_hana,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041014,courage_the_cowardly_dog,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041015,daiakuji,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041016,dora_the_explorer,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041017,feiren_zai,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041018,gankutsuou,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041019,kawaikereba_hentai_demo_suki_ni_natte_kuremasu_ka?,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041020,keijo!!!!!!!!,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041021,kiss_x_sis,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041022,koukaku_no_pandora,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041023,ng_knight_lamune_&_40,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041024,outer_wilds,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041025,page_of_lambda,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041026,samurai_sentai_shinkenger,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041027,stranger_things,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041028,tetsujin_28-gou,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041029,the_citadel,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041030,the_legend_of_vox_machina,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041031,torikissa!,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041032,watashi_no_tame_ni_nuginasai!,Copyright,118,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041033,7th_dragon_iii,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041034,arcturus,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041035,darling_dance_(vocaloid),Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041036,dungeons_&_dragons:_chronicles_of_mystara,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041037,food_court_de_mata_ashita,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041038,genji_tsuushin_agedama,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041039,ghost_rider_(series),Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041040,himawari_no_kyoukai_to_nagai_natsuyasumi,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041041,hitozukiai_ga_nigate_na_miboujin_no_yukionna-san_to_noroi_no_yubiwa,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041042,lost_technology,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041044,ophelia_(painting),Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041045,otome_youkai_zakuro,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041046,pandora_party_project,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041047,paryi_project,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041048,ragnarok_origin,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041049,raramagi,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041050,refrain_no_chika_meikyuu_to_majo_no_ryodan,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041051,rise_up_high!_(love_live!),Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041052,shiawasena_neet_no_sodatekata,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041053,taiyou_no_kiba_dougram,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041054,the_devil_and_s-13,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041055,valkyrie_drive_-siren-,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041056,yunyun_denpa_syndrome,Copyright,117,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041057,akai_ito,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041058,buta_no_liver_wa_kanetsu_shiro,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041059,cardcaptor_sakura:_memory_key,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041060,choo_choo_train,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041061,dodonpachi_saidaioujou,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041062,dragon_age_2,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041063,echoes_of_vision,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041064,elemental_gelade,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041065,endless_monday:_dreams_and_deadlines,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041066,fields_of_mistria,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-041067,gad_guard,Copyright,116,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
