identity_key,candidate_cluster,candidate_state,human_intent,review_note
orange_petals,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
orbital_path,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
orbited,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
oriens_(nijisanji),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
original_remodel_(kantai_collection),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
original_terror_(blue_archive),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
originite_prime_(arknights),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
originium_(arknights),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
originium_arts_(arknights),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
orirock_(arknights),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
osandon,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
outseal,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
over_rad_squad!!_(project_sekai),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
overblot,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pactio,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
padoru_(meme),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paduka,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pajamas_challenge_(meme),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paku_paku_desuwa,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
palace_of_dragon_(idolmaster),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paladins_of_charlemagne_(fate),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pan-pa-ka-paaan!,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pandemonium_society_(blue_archive),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pangu_terminal_(wuthering_waves),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
panjandrum,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
pankou,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
panther_pink_(precure),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paper_child,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
papyrokinesis,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paradeus,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paradise_lost_(e.g.o),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
parka_girls_(touhou),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
parksolian_(infinity_nikki),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
party_parrot_(meme),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
paru_paru,GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
passion!!!!!!_(love_live!),GENERAL_ONLY|(none)|NONE,FULL_REVIEW_GENERAL_NONE_NONE_V118_BATCH13,,
