identity_key,candidate_state,reason
biting_own_thumb,ORDINARY_CLEAN,no_body_contact_risk
biting_shoulder,ORDINARY_CLEAN,no_body_contact_risk
bitten,ORDINARY_CLEAN,no_body_contact_risk
blackmail,ORDINARY_CLEAN,no_body_contact_risk
blade_catching,ORDINARY_CLEAN,no_body_contact_risk
blade_to_throat,ORDINARY_CLEAN,no_body_contact_risk
blocking,ORDINARY_CLEAN,no_body_contact_risk
blowing,ORDINARY_CLEAN,no_body_contact_risk
blowing_bubble_gum,ORDINARY_CLEAN,no_body_contact_risk
blowing_bubbles,ORDINARY_CLEAN,no_body_contact_risk
blowing_candle,ORDINARY_CLEAN,no_body_contact_risk
blowing_in_ear,ORDINARY_CLEAN,no_body_contact_risk
blowing_nose,ORDINARY_CLEAN,no_body_contact_risk
blowing_on_food,ORDINARY_CLEAN,no_body_contact_risk
blowing_whistle,ORDINARY_CLEAN,no_body_contact_risk
blown_away,ORDINARY_CLEAN,no_body_contact_risk
body_control,ORDINARY_CLEAN,no_body_contact_risk
body_soaping,ORDINARY_CLEAN,no_body_contact_risk
boiling,ORDINARY_CLEAN,no_body_contact_risk
bone_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
bonk,ORDINARY_CLEAN,no_body_contact_risk
book_on_head,ORDINARY_CLEAN,no_body_contact_risk
book_on_lap,ORDINARY_CLEAN,no_body_contact_risk
book_to_mouth,ORDINARY_CLEAN,no_body_contact_risk
borrowing_race,ORDINARY_CLEAN,no_body_contact_risk
boston_crab,ORDINARY_CLEAN,no_body_contact_risk
bottle_between_thighs,ORDINARY_CLEAN,no_body_contact_risk
bottle_to_cheek,ORDINARY_CLEAN,no_body_contact_risk
bouquet_toss,ORDINARY_CLEAN,no_body_contact_risk
boy_and_girl_sandwich,ORDINARY_CLEAN,no_body_contact_risk
boy_sandwich,ORDINARY_CLEAN,no_body_contact_risk
braiding_another's_hair,ORDINARY_CLEAN,no_body_contact_risk
braiding_hair,ORDINARY_CLEAN,no_body_contact_risk
braiding_own_hair,ORDINARY_CLEAN,no_body_contact_risk
brain_injection,ORDINARY_CLEAN,no_body_contact_risk
bras_d'honneur,ORDINARY_CLEAN,no_body_contact_risk
bread_eating_race,ORDINARY_CLEAN,no_body_contact_risk
breaking,ORDINARY_CLEAN,no_body_contact_risk
breaking_through_wall,ORDINARY_CLEAN,no_body_contact_risk
breaking_through_window,ORDINARY_CLEAN,no_body_contact_risk
